question,answer,context
"Greg McDermott (born November 25, 1964) has served as the head coach of the Creighton University Bluejays men's basketball team since April 26, 2010, he's the father of Douglas Richard McDermott, is an American professional basketball player for the New York Knicks, of which organization?",National Basketball Association (NBA),"Greg McDermott
Greg McDermott (born November 25, 1964) has served as the head coach of the Creighton University Bluejays men's basketball team since April 26, 2010.  Previously McDermott served as head coach at Wayne State College, North Dakota State, Northern Iowa, and Iowa State.  He is the father of NBA player Doug McDermott.

Doug McDermott
Douglas Richard McDermott (born January 3, 1992) is an American professional basketball player for the New York Knicks of the National Basketball Association (NBA).  While playing college basketball for Creighton University, he led the nation in scoring in 2013–14, was a three-time consensus first-team All-American.  He was the consensus national player of the year as a senior in 2014, and finished his college career with the fifth-most points in NCAA Division I men's basketball history.  After graduating from Creighton, McDermott entered the 2014 NBA draft, where he was drafted 11th overall by the Chicago Bulls.  He went on to play two and half seasons for the Bulls before being traded to the Thunder in February 2017.  McDermott is the son of current Creighton coach, Greg McDermott; Greg coached McDermott during his college career.

"
What year did Andy Karl appear in Rocky the Musical?,2012,"Andy Karl
Andy Karl is an American actor and singer, best known for performing in musical theatre.  He has appeared on Broadway in the original productions of ""Legally Blonde"", ""9 to 5"", ""Rocky the Musical"" as well as appearing in ""Wicked"", ""The Mystery of Edwin Drood"", ""Jersey Boys"", ""On The Twentieth Century"", and ""And So It Goes"".

Rocky the Musical
Rocky the Musical (originally Rocky: Das Musical) is a 2012 musical with music and lyrics by Stephen Flaherty and Lynn Ahrens, with a book by Thomas Meehan, adapted from a screenplay by Sylvester Stallone.  The show held its world premiere in Hamburg in 2012 and opened on Broadway in 2014 at the Winter Garden Theatre.  The show roughly follows the plot of the 1976 film ""Rocky"".

"
"Who was born first, John Woo or Joseph Santley?",Joseph Mansfield Santley,"John Woo
John Woo SBS (Ng Yu-Sum; born 1 May 1946) is a Chinese-born Hong Kong film director, writer, and producer.  He is the owner of Lion Rock Productions.  He is considered a major influence on the action genre, known for his highly chaotic action sequences, Mexican standoffs, and frequent use of slow motion.  Woo has directed several notable Hong Kong action films, among them, ""A Better Tomorrow"" (1986), ""The Killer"" (1989), ""Hard Boiled"" (1992), and ""Red Cliff"" (2008/2009).

Joseph Santley
Joseph Mansfield Santley (born Joseph Ishmael Mansfield, January 10, 1890 – August 8, 1971) was an American actor, singer, dancer, writer, director, and producer of musical theatrical plays motion pictures and television shows.  He adopted the stage name of his stepfather, actor Eugene Santley.

"
What character did actor Paul L. Smith play opposite Robin Williams in the 1980 American musical comedy film directed by Robert Altman?,Bluto,"Paul L. Smith
Paul Lawrence Smith (June 24, 1936 – April 25, 2012), most frequently credited as Paul Smith or Paul L. Smith, was an American actor.  Burly, bearded and imposing, he appeared in films and occasionally on television since the 1970s, generally playing ""heavies"" and bad guys.  His most notable roles include Hamidou, the vicious prison guard in ""Midnight Express"" (1978), Bluto in Robert Altman's ""Popeye"" (1980), Gideon in the ABC miniseries ""Masada"" (1981) and Glossu Rabban in David Lynch's ""Dune"" (1984).

Popeye (film)
Popeye is a 1980 American musical comedy film directed by Robert Altman.  It is a live-action film adaptation of E. C. Segar's ""Popeye"" comic strip and stars Robin Williams as Popeye the Sailor Man and Shelley Duvall as Olive Oyl.

"
How many time was the captain of the Ottawa Senators of the National Hockey League awarded the Viking Award?,three times,"Viking Award
The Viking Award is awarded annually to the best Swedish ice hockey player in North America.  The winner is decided by a vote among all Swedish-born players participating in the NHL or the NHL farm-team leagues.  Only Mats Sundin has received the award four times.  Peter Forsberg, Markus Näslund, Börje Salming, Henrik Zetterberg and Erik Karlsson have received it three times.

Erik Karlsson
Erik Sven Gunnar Karlsson (] ; born 31 May 1990) is a Swedish professional ice hockey player who serves as captain of the Ottawa Senators of the National Hockey League (NHL).  Karlsson was drafted in the first round, 15th overall, by the Senators at the 2008 NHL Entry Draft.  Karlsson is a two-time winner of the James Norris Memorial Trophy as the NHL's best defenceman, winning the award in 2012 and 2015.

"
Which Norwegian actress and model starred in a 1972 British comedy film directed by Jim Clark?,Julie Ege,"Rentadick
Rentadick is a 1972 British comedy film, directed by Jim Clark and starring James Booth, Richard Briers, Julie Ege, Ronald Fraser and Donald Sinden.  It is a spoof spy/detective picture, the plot of which involves attempts to protect a new experimental nerve gas.

Julie Ege
Julie Ege (] ; 12 November 1943 – 29 April 2008) was a Norwegian actress and model.

"
Which 1994 film starred actor Danny Trejo?,Heat,"Danny Trejo
Danny Trejo ( ; ] ; born May 16, 1944) is an American actor who has appeared in numerous Hollywood films, often as villains and antiheroes.  His films include ""Heat"" (1995), ""Con Air"" (1997), and ""Desperado"" (1995), the latter with frequent collaborator Robert Rodriguez.  Trejo is perhaps most recognized as the character Machete, originally developed by Rodriguez for the ""Spy Kids"" series of movies and later expanded into Trejo's own series of films aimed at a more adult audience.  He has appeared in TV shows such as ""Breaking Bad,"" ""The X-Files"", and ""Sons of Anarchy"".  He also appeared in the spoof movie ""Delta Farce"" as the killer Carlos Santana who in the movie keeps getting mistaken for the musician.

Heat (1995 film)
Heat is a 1995 American crime film written, produced and directed by Michael Mann, and starring Robert De Niro, Al Pacino, and Val Kilmer.  De Niro plays Neil McCauley, a professional thief, while Pacino plays Lt. Vincent Hanna, a LAPD robbery-homicide detective tracking down McCauley's crew.  The story is based on the former Chicago police officer Chuck Adamson's pursuit during the 1960s of a criminal named McCauley, after whom De Niro's character is named.  Heat is a remake by Mann of a TV series he had worked on, the pilot of which was released as a TV movie, ""L.A. Takedown"" in 1989.

"
"Which party was this German politician born in 1889, who was portrayed by the American theater and film actor Bobby Watson after 1942, leader of?",the Nazi Party,"Bobby Watson (actor)
Bobby Watson (November 28, 1888 – May 22, 1965), born Robert Watson Knucher, was an American theater and film actor, playing a variety of character roles, including, after 1942, Adolf Hitler.

Adolf Hitler
Adolf Hitler (] ; 20 April 1889 – 30 April 1945) was a German politician who was the leader of the Nazi Party (""Nationalsozialistische Deutsche Arbeiterpartei""; NSDAP), Chancellor of Germany from 1933 to 1945 and Führer (""Leader"") of Nazi Germany from 1934 to 1945.  As dictator, Hitler initiated World War II in Europe with the invasion of Poland in September 1939, and was central to the Holocaust.

"
"Riann Steele is an English actress, she has also appeared as who, a therapist, in the Channel 4/Netflix comedy series ""Lovesick""?",Cleo,"Riann Steele
Riann Steele is an English actress.  After studying at Arts Educational Schools, London, she appeared in various Royal Shakespeare Company productions, including ""A Midsummer Night's Dream"", ""Love's Labours Lost"" and ""Hamlet"" (including its subsequent BBC television film adaptation in 2009) alongside David Tennant.  From 2009 to 2010, she played Nurse Lauren Minster in ""Holby City"".  Her first feature film role was opposite Aidan Gillen in 2010's ""Treacle Jr."".  In 2012, she starred in the film ""Sket"" as Shaks, the girlfriend of a violent gang leader portrayed by Ashley Walters.  and in Doctor Who (series 7) as Queen Nefertiti.  She has also appeared as Cleo, a therapist, in the Channel 4/Netflix comedy series ""Lovesick"".

Lovesick (TV series)
Lovesick (formerly known as Scrotal Recall) is a British sitcom created by Tom Edge which was first broadcast on Channel 4 in October 2014.  A second series was released on Netflix globally on 17 November 2016.  The show has been renewed for a third series.

"
Craig Goldy is a guitarist in what American heavy metal band that was formed in 1982?,Dio,"Craig Goldy
Craig Goldy (born November 6, 1961) is an American guitarist, most notably of the band Dio.

Dio (band)
Dio was an American heavy metal band formed in 1982 and led by vocalist Ronnie James Dio, after he left Black Sabbath with intentions to form a new band with fellow former Black Sabbath member Vinny Appice, the band's drummer.  The name Dio was chosen because it made sense from a commercial standpoint, as the name was already well known at that time.

"
